File Name, File Size
SRR1291024_1.fastq.gz,27331387111
SRR1291024_2.fastq.gz,25132573912
SRR1291026_1.fastq.gz,24510758533
SRR1291026_2.fastq.gz,25611582757
SRR1291030_1.fastq.gz,23303207661
SRR1291030_2.fastq.gz,22726023045
SRR1291035_1.fastq.gz,24577456536
SRR1291035_2.fastq.gz,25670336419
SRR1291036_1.fastq.gz,22667660208
SRR1291036_2.fastq.gz,23101804012
SRR1291041_1.fastq.gz,19753892014
SRR1291041_2.fastq.gz,20057409580
SRR1291070_1.fastq.gz,27460566587
SRR1291070_2.fastq.gz,25097123074
SRR1291138_1.fastq.gz,20382042296
SRR1291138_2.fastq.gz,20535513558
SRR1291141_1.fastq.gz,24937017262
SRR1291141_2.fastq.gz,22709166576
SRR1291157_1.fastq.gz,25058870732
SRR1291157_2.fastq.gz,22504032744
SRR1293236_1.fastq.gz,25004893778
SRR1293236_2.fastq.gz,25633962569
SRR1293251_1.fastq.gz,25586212044
SRR1293251_2.fastq.gz,25120778041
SRR1293262_1.fastq.gz,23378979925
SRR1293262_2.fastq.gz,24018203915
SRR1293283_1.fastq.gz,25543923400
SRR1293283_2.fastq.gz,25397271053
SRR1293295_1.fastq.gz,25245721675
SRR1293295_2.fastq.gz,23960912237
SRR1293326_1.fastq.gz,24633886473
SRR1293326_2.fastq.gz,23927638113
SRR1295423_1.fastq.gz,25044461696
SRR1295423_2.fastq.gz,25958618650
SRR1295424_1.fastq.gz,21320790242
SRR1295424_2.fastq.gz,21324184248
SRR1295425_1.fastq.gz,14726371458
SRR1295425_2.fastq.gz,14624553562
SRR1295426_1.fastq.gz,28303872455
SRR1295426_2.fastq.gz,27785863758
SRR1295432_1.fastq.gz,23921108716
SRR1295432_2.fastq.gz,24744357043
SRR1295433_1.fastq.gz,22067622706
SRR1295433_2.fastq.gz,22946606978
SRR1295465_1.fastq.gz,28089886578
SRR1295465_2.fastq.gz,29060117088
SRR1295466_1.fastq.gz,21595557318
SRR1295466_2.fastq.gz,20049529601
SRR1295515_1.fastq.gz,22280705684
SRR1295515_2.fastq.gz,20458295580
SRR1295532_1.fastq.gz,24243081520
SRR1295532_2.fastq.gz,24145095993
SRR1295533_1.fastq.gz,26088601546
SRR1295533_2.fastq.gz,26958814931
SRR1295534_1.fastq.gz,26313111483
SRR1295534_2.fastq.gz,27490753863
SRR1295535_1.fastq.gz,24670401793
SRR1295535_2.fastq.gz,25016865692
SRR1295536_1.fastq.gz,26103517071
SRR1295536_2.fastq.gz,23560389856
SRR1295537_1.fastq.gz,25399278124
SRR1295537_2.fastq.gz,26181965369
SRR1295538_1.fastq.gz,23789973008
SRR1295538_2.fastq.gz,23404940638
SRR1295539_1.fastq.gz,23297808580
SRR1295539_2.fastq.gz,23370506929
SRR1295540_1.fastq.gz,25458283265
SRR1295540_2.fastq.gz,26167202774
SRR1295542_1.fastq.gz,28268988160
SRR1295542_2.fastq.gz,29006022518
SRR1295543_1.fastq.gz,25863823620
SRR1295543_2.fastq.gz,28308131742
SRR1295544_1.fastq.gz,24543991840
SRR1295544_2.fastq.gz,26276547366
SRR1295545_1.fastq.gz,23775433435
SRR1295545_2.fastq.gz,23416939760
SRR1295546_1.fastq.gz,25021950381
SRR1295546_2.fastq.gz,26025910400
SRR1295552_1.fastq.gz,26549118403
SRR1295552_2.fastq.gz,23225563249
SRR1295553_1.fastq.gz,25904440495
SRR1295553_2.fastq.gz,27468617543
SRR1295554_1.fastq.gz,23856900796
SRR1295554_2.fastq.gz,24870686658
SRR1295568_1.fastq.gz,26970214871
SRR1295568_2.fastq.gz,27356468648
SRR1295570_1.fastq.gz,26541254908
SRR1295570_2.fastq.gz,27086916932
SRR1298980_1.fastq.gz,14775319856
SRR1298980_2.fastq.gz,13141482624
SRR1298981_1.fastq.gz,25218909106
SRR1298981_2.fastq.gz,26257743005
SRR1298988_1.fastq.gz,20815832640
SRR1298988_2.fastq.gz,21011395092
SRR1298989_1.fastq.gz,28943420613
SRR1298989_2.fastq.gz,27746137453
SRR622457_1.fastq.gz,50540242629
SRR622457_2.fastq.gz,71362146280
SRR622458_1.fastq.gz,66771360285
SRR622458_2.fastq.gz,68300205647
SRR622459_1.fastq.gz,68029335546
SRR622459_2.fastq.gz,69219443789
