uuid,userName,cluster,genome,BAM,BWAMarkDuplicates,SortSam,GATK_BQSR,GATK_HaplotypeCaller,vcf,link
,,,ERR062930,1,1.0,1.0,1.0,1.0,1.0,
,,,ERR019492,1,1.0,1.0,1.0,,,
,,,ERR062959,1,1.0,1.0,,,,
,,,ERR016327,1,1.0,,,,,
,,,ERR018491,1,,,,,,
,,,ERR020253,1,,,,,,
,,,ERR018538,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1k1DpvtxJGxqbbSBHtWS4ucA43vyPb0zW/view?usp=drivesdk
,,,ERR018395,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1d_d4wCLI5ghN9GKenldIFMzVJLzL8Uam/view?usp=drivesdk
,,,ERR062947,1,1.0,1.0,1.0,,,
,,,ERR062953,1,1.0,1.0,,,,
,,,ERR022457,1,1.0,,,,,
,,,SRR799760,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1tXdwpJxxBCht00nsMNELBgrQ8mfSKJ4h/view?usp=drivesdk
,,,ERR016316,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/12VEpvmXrnLZqPw45ETQOXHU5nyf0vSax/view?usp=drivesdk
,,,ERR016350,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1zAVtvqgzSM6sPE1c5kRwzy2c59jfeEey/view?usp=drivesdk
,,,ERR022370,1,1.0,1.0,1.0,,,
,,,ERR062973,1,1.0,1.0,1.0,,,
,,,ERR062979,1,1.0,1.0,1.0,,,
,,,ERR019488,1,1.0,1.0,1.0,,,
,,,ERR018482,1,1.0,1.0,1.0,,,
,,,ERR018469,1,1.0,1.0,1.0,,,
,,,ERR022429,1,1.0,1.0,,,,
,,,ERR018517,1,1.0,1.0,,,,
,,,ERR018501,1,1.0,1.0,,,,
,,,ERR068392,1,1.0,1.0,,,,
,,,ERR016294,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1zAVtvqgzSM6sPE1c5kRwzy2c59jfeEey/view?usp=drivesdk
,,,ERR016326,1,1.0,,,,,
,,,ERR062941,1,1.0,,,,,
,,,SRR794367,1,1.0,,,,,
,,,ERR022463,1,,,,,,
,,,ERR023220,1,1.0,,,,,
,,,ERR019481,1,,,,,,
,,,SRR794397,1,,,,,,
,,,SRR794387,1,,,,,,
,,,ERR020241,1,,,,,,
,,,ERR018454,1,,,,,,
,,,ERR020288,1,,,,,,
,,,ERR020257,1,,,,,,
,,,ERR062967,1,1.0,1.0,1.0,,,
,,,ERR018436,1,1.0,1.0,1.0,,,
,,,ERR016338,1,1.0,1.0,,,,
,,,ERR019482,1,1.0,,,,,
,,,ERR018197,1,,,,,,
,,,ERR018442,1,,,,,,
,,,ERR062940,1,1.0,1.0,1.0,1.0,1.0,
,,,ERR019903,1,1.0,1.0,1.0,,,
,,,ERR065364,1,1.0,1.0,,,,
,,,ERR018476,1,1.0,,,,,
,,,ERR020229,1,,,,,,
,,,ERR018513,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1oHl11Uderzzd-KuZGxeRGo6IcSil7hkW/view?usp=drivesdk
,,,ERR018448,1,1.0,1.0,1.0,1.0,1.0,
,,,ERR018544,1,1.0,1.0,1.0,,,
,,,SRR794275,1,1.0,1.0,,,,
,,,ERR020263,1,1.0,,,,,
,,,ERR016317,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/1npg913Oogk8PEkZhdMFgmPkxPwFNWL6j/view?usp=drivesdk
,,,ERR018507,1,1.0,1.0,1.0,,,
,,,ERR062934,1,1.0,1.0,1.0,,,
,,,ERR023221,1,1.0,1.0,,,,
,,,ERR018198,1,1.0,,,,,
,,,SRR794312,1,,,,,,
,,,ERR020270,1,,,,,,
,,,ERR020157,1,1.0,1.0,1.0,1.0,1.0,
,,,ERR023211,1,1.0,1.0,1.0,,,
,,,ERR016314,1,1.0,1.0,1.0,1.0,1.0,https://drive.google.com/file/d/137KXPpW29snT3coJ-yZHSTgIo5ql58FD/view?usp=drivesdk
,,,ERR062924,1,1.0,1.0,1.0,,,
,,,SRR793879,1,1.0,1.0,1.0,,,
,,,ERR062966,1,1.0,1.0,1.0,,,
,,,ERR018558,1,1.0,1.0,1.0,,,
,,,ERR018429,1,1.0,1.0,1.0,,,
,,,ERR018423,1,1.0,1.0,1.0,,,
,,,ERR016320,1,1.0,1.0,1.0,,,
,,,ERR023204,1,1.0,1.0,1.0,,,
,,,ERR018435,1,1.0,1.0,,,,
,,,ERR018550,1,1.0,1.0,,,,
,,,ERR019498,1,1.0,1.0,,,,
,,,ERR022393,1,1.0,1.0,,,,
,,,ERR018463,1,1.0,,,,,
,,,ERR020282,1,1.0,,,,,
,,,ERR019897,1,1.0,,,,,
,,,ERR018460,1,1.0,,,,,
,,,ERR018475,1,,,,,,
,,,ERR020289,1,,,,,,
,,,SRR794349,1,,,,,,
,,,ERR016344,1,,,,,,
,,,ERR022469,1,,,,,,
,,,ERR016294,1,1.0,1.0,1.0,,,
,,,ERR016294,1,1.0,1.0,0,,,
,,,ERR016294,1,1.0,0,0,,,
,,,ERR016294,1,0,0,0,,,
,,,ERR016294,0,0,0,0,,,
,,,ERR016294,1,0,0,0,0,1.0,https://drive.google.com/file/d/1d_d4wCLI5ghN9GKenldIFMzVJLzL8Uam/view?usp=drivesdk
